symbol,companyName,sector,industry,marketCap,oneYearReturnPct,cik,capital_need_score,cash_runway_component,leverage_component,capex_component,sector_component,active_unused_shelf,profitability_override,score_note,first_seen_date
SPRY,ARS Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,585744850.0,-49.31,0001671858,53.2,0.6,0.7,0.15,0.95,False,False,,2026-08-30
DFH,Dream Finders Homes Inc. Class A Common Stock,Consumer Discretionary,Homebuilding,1336298342.0,-46.89,0001825088,52.8,0.85,1.0,0.15,0.25,False,False,,2026-08-30
FWDI,Forward Industries Inc. Common Stock,Finance,Finance: Consumer Services,434958141.0,-61.3,0000038264,52.8,0.85,1.0,0.15,0.25,False,False,,2026-08-30
JELD,JELD-WEN Holding Inc. Common Stock,Basic Materials,Forest Products,219511356.0,-60.41,0001674335,52.8,0.85,1.0,0.15,0.25,False,False,,2026-08-30
TRON,Tron Inc. Common Stock,Finance,Finance: Consumer Services,986714693.0,-51.52,0001956744,51.8,0.85,0.2,0.15,0.25,True,False,,2026-08-30
BTGO,BitGo Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services,806362967.0,-61.89,0001740604,51.2,1.0,0.7,0.15,0.25,False,False,,2026-08-30
HDSN,Hudson Technologies Inc. Common Stock,Consumer Discretionary,Industrial Specialties,228540810.0,-46.56,0000925528,50.8,0.85,0.15,0.15,0.25,True,False,,2026-08-30
BZFD,BuzzFeed Inc. Class A Common Stock,Consumer Discretionary,Telecommunications Equipment,103335069.0,-36.73,0001828972,50.5,0.85,0.7,0.4,0.25,False,False,,2026-08-30
RPAY,Repay Holdings Corporation Class A Common Stock,Consumer Discretionary,Business Services,336078820.0,-36.82,0001720592,50.0,0.1,1.0,0.4,0.3,True,False,,2026-08-30
INV,Innventure Inc. Common Stock,Finance,Blank Checks,106611948.0,-76.88,0002001557,49.5,0.85,0.2,1.0,0.25,False,False,,2026-08-30
INDP,Indaptus Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,151896249.0,-82.46,0001857044,47.5,0.6,0.3,0.3,0.95,False,False,,2026-08-30
GEMI,Gemini Space Station Inc. Class A Common Stock,Finance,Finance: Consumer Services,557504469.0,-86.56,0002055592,46.8,0.85,0.7,0.15,0.25,False,False,,2026-08-30
CMPX,Compass Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),432210996.0,-31.23,0001738021,45.5,0.1,0.2,0.3,0.95,True,False,,2026-08-30
RZLT,Rezolute Inc. Common Stock (NV),Health Care,Biotechnology: Pharmaceutical Preparations,444870569.0,-35.11,0001509261,45.5,0.1,0.2,0.3,0.95,True,False,,2026-08-30
VOR,Vor Biopharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1340025959.0,-42.51,0001817229,45.5,0.1,0.2,0.3,0.95,True,False,,2026-08-30
HPP,Hudson Pacific Properties Inc. Common Stock,Finance,Real Estate,713091257.0,-33.2,0001482512,45.2,0.1,1.0,0.15,0.25,True,False,,2026-08-30
ONEW,OneWater Marine Inc. Class A Common Stock,Consumer Discretionary,Auto & Home Supply Stores,199487459.0,-28.88,0001772921,45.2,0.1,1.0,0.15,0.25,True,False,,2026-08-30
XGN,Exagen Inc. Common Stock,Health Care,Medical Specialities,179025255.0,-25.05,0001274737,45.2,0.1,0.7,0.15,0.55,True,False,,2026-08-30
INSE,Inspired Entertainment Inc. Common Stock,Technology,Computer Software: Prepackaged Software,156305146.0,-36.24,0001615063,44.5,0.35,0.7,1.0,0.25,False,False,,2026-08-30
ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2092016911.0,-45.89,0001368514,44.2,0.1,1.0,0.15,0.95,False,False,,2026-08-30
LFCR,Lifecore Biomedical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,171852892.0,-40.34,0001005286,43.0,0.1,1.0,0.4,0.7,False,False,,2026-08-30
CRMD,CorMedix Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,646937889.0,-44.03,0001410098,42.2,0.1,0.15,0.15,0.95,True,False,,2026-08-30
EBS,Emergent BioSolutions Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,303025416.0,-28.8,0001367644,42.2,0.1,0.4,0.15,0.7,True,False,,2026-08-30
